C note;Notes;Scale;Degrees;MIDI notes
C1;[ 0 ];aeolian;[ 0 ];[ c 0 ]
C1;[ 0 ];ahirbhairav;[ 0 ];[ c 0 ]
C1;[ 0 ];ajam;[ 0 ];[ c 0 ]
C1;[ 0 ];atharKurd;[ 0 ];[ c 0 ]
C1;[ 0 ];augmented;[ 0 ];[ c 0 ]
C1;[ 0 ];augmented2;[ 0 ];[ c 0 ]
C1;[ 0 ];bartok;[ 0 ];[ c 0 ]
C1;[ 0 ];bastanikar;[ 0 ];[ c 0 ]
C1;[ 0 ];bayati;[ 0 ];[ c 0 ]
C1;[ 0 ];bhairav;[ 0 ];[ c 0 ]
C1;[ 0 ];chinese;[ 0 ];[ c 0 ]
C1;[ 0 ];chromatic;[ 0 ];[ c 0 ]
C1;[ 0 ];chromatic24;[ 0 ];[ c 0 ]
C1;[ 0 ];diminished;[ 0 ];[ c 0 ]
C1;[ 0 ];diminished2;[ 0 ];[ c 0 ]
C1;[ 0 ];dorian;[ 0 ];[ c 0 ]
C1;[ 0 ];egyptian;[ 0 ];[ c 0 ]
C1;[ 0 ];enigmatic;[ 0 ];[ c 0 ]
C1;[ 0 ];farahfaza;[ 0 ];[ c 0 ]
C1;[ 0 ];gong;[ 0 ];[ c 0 ]
C1;[ 0 ];harmonicMajor;[ 0 ];[ c 0 ]
C1;[ 0 ];harmonicMinor;[ 0 ];[ c 0 ]
C1;[ 0 ];hexAeolian;[ 0 ];[ c 0 ]
C1;[ 0 ];hexDorian;[ 0 ];[ c 0 ]
C1;[ 0 ];hexMajor6;[ 0 ];[ c 0 ]
C1;[ 0 ];hexMajor7;[ 0 ];[ c 0 ]
C1;[ 0 ];hexPhrygian;[ 0 ];[ c 0 ]
C1;[ 0 ];hexSus;[ 0 ];[ c 0 ]
C1;[ 0 ];hijaz;[ 0 ];[ c 0 ]
C1;[ 0 ];hijazDesc;[ 0 ];[ c 0 ]
C1;[ 0 ];hindu;[ 0 ];[ c 0 ]
C1;[ 0 ];hirajoshi;[ 0 ];[ c 0 ]
C1;[ 0 ];hungarianMinor;[ 0 ];[ c 0 ]
C1;[ 0 ];husseini;[ 0 ];[ c 0 ]
C1;[ 0 ];huzam;[ 0 ];[ c 0 ]
C1;[ 0 ];indian;[ 0 ];[ c 0 ]
C1;[ 0 ];ionian;[ 0 ];[ c 0 ]
C1;[ 0 ];iraq;[ 0 ];[ c 0 ]
C1;[ 0 ];iwato;[ 0 ];[ c 0 ]
C1;[ 0 ];jiao;[ 0 ];[ c 0 ]
C1;[ 0 ];jiharkah;[ 0 ];[ c 0 ]
C1;[ 0 ];karjighar;[ 0 ];[ c 0 ]
C1;[ 0 ];kijazKarKurd;[ 0 ];[ c 0 ]
C1;[ 0 ];kumoi;[ 0 ];[ c 0 ]
C1;[ 0 ];kurd;[ 0 ];[ c 0 ]
C1;[ 0 ];leadingWhole;[ 0 ];[ c 0 ]
C1;[ 0 ];locrian;[ 0 ];[ c 0 ]
C1;[ 0 ];locrianMajor;[ 0 ];[ c 0 ]
